Preprocessing Llama-2-70b-chat-hf-datasets_AJMC_de_HIPE-2022-v2.1-ajmc-test-de.tsv-ajmc_guidelines_norole-2024-01-03_15:47:16.tsv...
Facuitré XXX <ORG>Faculté
On XXX <PER>M
Nous XXX <PER>M.
D XXX <PER>M.
Hélas XXX <PER>Walter
crie XXX <PER>Au
. XXX <LOC>Article
. XXX <LOC>Article
. XXX <LOC>Article
. XXX <LOC>Article
Signalons XXX <PER>M
. XXX <LOC>Relevé
( XXX (<LOC>DÉPÊCHE
. XXX <NUM>10
- XXX <LOC>poste
- XXX <LOC>poste
- XXX <LOC>poste
- XXX <LOC>poste
La XXX <LOC>New
l XXX l'<PER>immense
— XXX <PER>M
Les XXX <LOC>La
Quelques XXX <PER>M
En XXX <ORG>De
Ajoutons XXX <PER>M
Air XXX <LOC>L
. XXX <LOC>2310
Asso¬ XXX <ORG>Association
— XXX <LOC>Dernière
— XXX <PER>Pierre
Devant XXX <PER>Peter
tu XXX <PER>Peter
ment XXX <LOC>Un
le XXX <HumanProd>Manuel
— XXX <LOC>Sept
pa¬ XXX <PER>patriotes
— XXX <LOC>Sept
Car XXX <LOC>Le
malheu¬ XXX <PER>nation
CENSURÉ XXX <CENSURÉ>
' XXX <PER>Hermann
, XXX <LOC>rue
Mais XXX <PER>le
. XXX <LOC>Un
, XXX <LOC>Joe
lui XXX <LOC>chambre
DOS XXX <PER>JOHN
que XXX <PER>le
Lutte XXX <PER>Paul
------

Preprocessing Llama-2-70b-chat-hf-datasets_AJMC_de_HIPE-2022-v2.1-ajmc-test-de.tsv-ajmc_noguidelines_norole-2024-02-10_22:03:17.tsv...
das XXX <WORK>dritte
wie XXX <WORK>νέος
------

Preprocessing Llama-2-70b-chat-hf-datasets_AJMC_en_HIPE-2022-v2.1-ajmc-test-en.tsv-ajmc_noguidelines_norole-2024-02-10_22:01:50.tsv...
<dirty XXX <WORK>dirty
&s XXX <WORK>might
¢Uncared XXX <PERS>Uncared
¢ XXX <PERS>With
------

Preprocessing Llama-2-70b-chat-hf-datasets_AJMC_fr_HIPE-2022-v2.1-ajmc-test-f-.tsv-ajmc_noguidelines_norole-2024-02-03_22:40:52.tsv...
------

Preprocessing Llama-2-70b-chat-hf-datasets_HIPE_de_HIPE-2022-v2.1-hipe2020-test-de.tsv-hipe_noguidelines_norole2024-02-10_22:54:38.tsv...
Bärlocher XXX <pers>Wirth
( XXX (<org>Englische
¬ XXX <org>russischen
¬ XXX <org>Staatlich-volkswirtschaftlichen
¬ XXX <org>Milionen
¬ XXX <org>Züricher
parlamentarischen XXX <time>parlementarische
Havas XXX <time>3
¬ XXX <org>Anglo-Jewish
soz XXX <loc>Soz.
( XXX (<org>soz.
1937 XXX <time>Jahres
franzésisehe XXX <org>französische
und XXX <pers>,
. XXX <pers>
die XXX <org>Ehre
< XXX <LOC>L
bie XXX <pers>Frau
» XXX <humanprod>Ziösen
beutschen XXX <pers>bie
. XXX <humanprod>Buch-
vnn XXX <time>vn
Parlamentstorrespondent XXX <pers>Parlaments
Die XXX <org>Italienischen
» XXX <humanprod>190
' XXX <org>Nationale
" XXX <pers>der
parlamentarisehe XXX <org>parlamentarische
------

Preprocessing Llama-2-70b-chat-hf-datasets_HIPE_en_HIPE-2022-v2.1-hipe2020-test-en.tsv-hipe_noguidelines_norole-2024-02-10_22:55:24.tsv...
_ XXX <time>29
12tli XXX <time>12th
¬ XXX <loc>Palace
Vise XXX <org>Vice
twenty XXX <time>Tenth
compilation XXX <HumanProd>Agricultural
on XXX <loc>powerful
Bill XXX <humanprod>Sub-Treasury
re XXX <org>pecuniary
, XXX (<pers>A
haads XXX <pers>capable
en XXX <loc>animal
' XXX <pers>Dick
iskegee XXX <loc>Tuskegee
------

Preprocessing Llama-2-70b-chat-hf-datasets_HIPE_fr_HIPE-2022-v2.1-hipe2020-test-fr.tsv-hipe_noguidelines_norole-2024-02-03_16:35:18.tsv...
" XXX <loc>bureau
enfans XXX <pers>enfants
damé XXX <pers>dame
< XXX <loc>e
\ XXX <org>i
_ XXX <loc>exiraite
_ XXX <loc>grefle
_ XXX <time>3
" XXX <org>Quaire
_ XXX <humanprod>colliers
ï XXX <time>3
_ XXX <org>négociant
AlAL XXX <org>ALAL
_ XXX <time>J
dire XXX <time>dite
_ XXX <loc>giand
_ XXX <loc>abord
recettedeFontaine XXX <loc>recette
Alardi XXX <time>17
_ XXX <humanprod>Gilbas
19 XXX <humanprod>Almanachs
- XXX <humanprod>guin'gans
coq XXX <loc>Inde
_ XXX <org>chea
_ XXX <org>précédemment
_ XXX <time>0
ne XXX <PERSON>
_ XXX <org>un
_ XXX <pers>employés
_ XXX <org>Tbu
gOii XXX <org>gouvernement
sirènes XXX <humanprod>coups
commiffion XXX <org>commission
i XXX <pers>Tome
L XXX <humanprod>l'enquête
lant XXX l'<pers>ant
trois XXX <org>je
_ XXX <loc>de
soldais XXX <pers>soldats
* XXX <loc>dépression
. XXX <org>la
la XXX <pers>Henri
enfents XXX <humanprod>enfants
_ XXX <pers>le
_ XXX <org>apprissent
------

Preprocessing Llama-2-70b-chat-hf-datasets_Newseye_de_HIPE-2022-v2.1-newseye-test-de.tsv-newseye_noguidelines_norole-2024-02-11_13:15:31.tsv...
sind XXX <ORG>Vereinigte
" XXX <ORG>Egerer
Historischer XXX <PER>Johann
Noch XXX <PER>Michel
) XXX <HumanProd>Abends
seine XXX <PER>Kathi
„ XXX <LOC>Venedig
„ XXX <HumanProd>Arbeiterinnen
. XXX <LOC>Rio
Alles XXX <ORG>100
) XXX <LOC>Die
) XXX <LOC>100
f XXX <LOC>100
) XXX <LOC>200
. XXX <ORG>3%
=Obl XXX <LOC>Obl
5% XXX <ORG>Buschtiehrader
=G XXX <PER>G.
dem XXX <PER>Grafen
- XXX <LOC>Versammlungs¬
„ XXX <PER>Herr
“ XXX <PER>Die
Klebezettel XXX <PER>Dr
„ XXX <LOC>Volks¬
80 XXX <ORG>Herr
: XXX <LOC>Die
: XXX <PER>General
* XXX <ORG>Die
* XXX <LOC>Die
Die XXX <PER>Marie
Inserate XXX <ORG>E
. XXX <PER>K
* XXX <ORG>Geschäftliches
“ XXX <ORG>Die
) XXX <ORG>Das
* XXX <PER>F
* XXX <ORG>Humanität
Untersuchungs= XXX <LOC>Untersuchungs-
Un¬ XXX <PER>Un
* XXX <LOC>Kleine
Der XXX <PER>Sylvester
* XXX <LOC>Beim
* XXX <LOC>Ein
* XXX <LOC>Da
Private XXX <PER>Franz
* XXX <LOC>Einspänner
Einspänner XXX <PER>Karl
) XXX <LOC>Erstes
, XXX <LOC>Vordern¬
“ XXX <ORG>Auch
) XXX <ORG>Bayrische
“ XXX <PER>M
„ XXX <HumanProd>Blonde
„ XXX <LOC>Rätsel
„ XXX <HumanProd>Der
“ XXX <LOC>MEIDLINGER
m XXX <PER>Franziska
„ XXX <PER>Hedy
“ XXX <HumanProd>seine
„ XXX <PER>Karl
“ XXX <PER>D.
„ XXX <PER>Edward
Verschlungene XXX <PER>A
) XXX <ORG>Seite
“ XXX <HumanProd>Büchereinlauf
Sämtliche XXX <ORG>Wiener
30 XXX <PER>Dr
15 XXX <PER>Dr
Universitätsdozent XXX <PER>Dr
40 XXX <PER>Hans
05 XXX <PER>Tobias
“ XXX <PER>Hermann
Spiel¬ XXX <PER>Franz
Musikalische XXX <PER>Rudolf
Am XXX <PER>Franz
) XXX <ORG>Funkorchester
40 XXX <PER>Paul
Einleitende XXX <PER>Dr
Dirigent: XXX <PER>Josef
“ XXX <HumanProd>Oper
“ XXX <HumanProd>Oper
“ XXX <HumanProd>Burleske
“ XXX <HumanProd>Oper
30 XXX <LOC>Theater
dem XXX <PER>Leonhard
Am XXX <PER>Herr
“ XXX <LOC>Schlacht
Verantwortlicher XXX <PER>G
000 XXX <NUM>20
12 XXX <NUM>15
10 XXX <NUM>12
sind XXX <NUM>10
In XXX <PER>Erbgraf
hatte XXX <PER>Ulrich
* XXX <ORG>Vom
Ge¬ XXX <LOC>Gemeinde
Eigentümer XXX <ORG>Wagner
Verantwortl XXX <PER>Karl
Bun¬ XXX <PER>Bundesminister
„ XXX <LOC>Innsbrucker
· XXX <LOC>Telephon
3 XXX <ORG>Honigwaben
Für XXX <PER>Frau
283 XXX <PER>Geschwister
Am XXX <LOC>15½
B XXX <ORG>Geschäftsstelle
„ XXX <LOC>Innsbrucker
. XXX <LOC>Apotheke
Oesterreichischen XXX <ORG>Oesterreichische
Oesterreichischen XXX <ORG>Oesterreichische
Es XXX <LOC>St
Vertreter XXX <PER>Robert
langjähriger XXX <PER>Andrä
Restenmuster XXX <ORG>Weberei
Zähne XXX <PER>Dr
„ XXX <PER>Franz
“ XXX <PER>11
Den XXX <PER>Herr
Da XXX <PER>Freiherr
) XXX <LOC>Juli
„ XXX <HumanProd>100
„ XXX <HumanProd>100
=W XXX <PER>W.
###f XXX <ORG>Illustrierte
) XXX <ORG>40½
=G XXX <ORG>G
=Verein XXX =<ORG>Verein
### XXX <ORG>Geld
„ XXX <ORG>AU
„ XXX <LOC>Lenerl
„ XXX <LOC>Die
„ XXX <HumanProd>Die
. XXX <LOC>Singerstraße
Ein XXX <PER>Dr
gesagt XXX <ORG>Trab¬
Zu XXX <PER>Hermine
Donnertag XXX <PER>Johann
) XXX <PER>Dr
„ XXX <PER>Wenn
♦Kleine XXX <ORG>Kleine
, XXX <LOC>Stahlrohr=
Johann=Strauß=Tänze XXX <PER>Johann
) XXX <LOC>Sport
Spezialarzi XXX <PER>Dr
Während XXX <PER>Paul
„ XXX <PER>Herr
; XXX <PER>b
f XXX <LOC>Spa¬
b XXX <PER>H
uns XXX <LOC>21
per XXX <ORG>German
“ XXX <ORG>Die
4 XXX <ORG>Lemberger
Doch XXX <PER>Dr
Die XXX <PER>Giovanni
schwung XXX <PER>Schwung
Verantwortlicher XXX <PER>Joseph
“ XXX <PER>der
“ XXX <PER>Friedrich
„ XXX <PER>der
“ XXX <PER>Nun
[Egyptische XXX <LOC>Egyptische
[Frau XXX <PER>Frau
) XXX <ORG>Se
Post¬ XXX <PER>Postdirections=Kassen
( XXX (<ORG>Agence
) XXX <ORG>k
“ XXX <PER>Der
„ XXX <PER>Eurer
„ XXX <PER>Der
“ XXX <PER>Eure
„ XXX <PER>Haben
„ XXX <ORG>Die
“ XXX <PER>der
“ XXX <PER>sagte
“ XXX <PER>der
“ XXX <PER>Herr
Notirungen XXX <LOC>12
. XXX <LOC>Lombarden
. XXX <ORG>Wiener
. XXX <ORG>Deutsche
[Berliner XXX [<LOC>Berliner
05 XXX <ORG>Banque
) XXX <LOC>Weizen
„ XXX <PER>G
„ XXX <PER>Der
“ XXX <LOC>K
„ XXX <LOC>Die
„ XXX <PER>Maria
“ XXX <HumanProd>Tranerspiel
seine XXX <PER>August
“ XXX <PER>Sebastian
Fünfte XXX <PER>Dr
“ XXX <HumanProd>Komische
" XXX <HumanProd>English
“ XXX <LOC>Theater
„ XXX <HumanProd>Drei
“ XXX <ORG>Oesterreichischer
b XXX <PER>H
uns XXX <LOC>21
Abonnement XXX <ORG>Im
“ XXX <ORG>Das
“ XXX <ORG>Dies
] XXX <LOC>Der
[Verein XXX <ORG>Verein
“ XXX <PER>Leb¬
“ XXX <ORG>Verein
mit XXX <PER>Herr
“ XXX <LOC>Breslauer
Ex=Minister XXX <PER>Ex-Minister
“ XXX <LOC>Die
] XXX <PER>Paul
Nun XXX <PER>Adolph
) XXX <PER>Abg
. XXX <PER>Ludwig
Aufträge XXX <ORG>Buchhandlung
[Erste XXX <LOC>Erste
[Ein XXX <LOC>Ein
[Der XXX <ORG>Der
[Die XXX <ORG>Die
[Ein XXX <PER>Professor
Was XXX <PER>Robert
Nr XXX <ORG>Wirtschaftliche
unga¬ XXX <LOC>ungarischen
Premier XXX <ORG>Rio
) XXX <LOC>Im
" XXX <LOC>Johann=
" XXX <PER>Der
Ueber XXX <PER>Pablo
Es XXX <PER>F
„ XXX <PER>Die
“ XXX <PER>Der
“ XXX <PER>Genaue
“ XXX <PER>Martha
daß XXX <PER>Jake
“ XXX <PER>Martha
„ XXX <LOC>Der
“ XXX <PER>Die
“ XXX <PER>Der
Der XXX <PER>F
Landesmeister XXX <PER>Hans
Meisterfahrer XXX <PER>Laszlo
Landes¬ XXX <PER>H
In XXX <PER>Robert
“ XXX <PER>Dieses
Pro¬ XXX <PER>Professor
das XXX <ORG>Bundesministerium
Aus XXX <ORG>Hauptverband
------

Preprocessing Llama-2-70b-chat-hf-datasets_Newseye_fr_NewsEye-GT-NER_EL_StD-v1-test-fr.tsv-newseye_noguidelines_norole-2024-02-03_15:40:29.tsv...
le XXX <PER>M
Ce XXX <PER>M
La XXX <PER>M
La XXX <PER>M
Du XXX <LOC>Empire
PROGRAMME XXX <LOC>Grand
PROGRAMME XXX <LOC>CINÉMA
. XXX <ORG>Crédit
. XXX <ORG>Crédit
. XXX <ORG>Rand
. XXX <ORG>Financière
. XXX <ORG>Société
. XXX <LOC>Silva
. XXX <LOC>Rente
. XXX <LOC>Vieille
. XXX <LOC>Pointe
. XXX <ORG>Générale
. XXX <ORG>Tabacs
. XXX <ORG>Les
. XXX <LOC>New
mi¬ XXX <PER>ministre
Le XXX <ORG>La
MM XXX <PER>Eugène
1 XXX <HumanProd>L
) XXX <LOC>la
voit XXX <PER>M
M°George XXX M°<PER>George
*★ XXX <LOC>PORTE
* XXX <LOC>A
* XXX <LOC>De
* XXX <PER>M
Nuit XXX <PER>Robert
Elle XXX <PER>Robert
Villannelle XXX <PER>Théophile
— XXX <PER>L
Pour XXX <PER>le
Pas XXX <PER>van
— XXX <PER>Mlle
— XXX <PER>M
Sous XXX <PER>la
éclatait XXX <LOC>Sous
Mon¬ XXX <PER>Monsieur
« XXX <PER>Cet
offert XXX <PER>Mme
qua¬ XXX <NUM>quatorze
ans XXX <NUM>dix-sept
Conférences XXX <ORG>Le
» XXX <LOC>L
» XXX <LOC>Le
» XXX <LOC>La
» XXX <LOC>L
» XXX <LOC>La
» XXX <LOC>La
C XXX <PER>l
L XXX <PER>M
Ce XXX <PER>le
) XXX <PER>M
) XXX <PER>M
L XXX <PER>M
Mise XXX <LOC>400
Pour XXX <ORG>LA
Pour XXX <ORG>M
raauesn XXX <ORG>LA
Nous XXX <PER>M
D XXX <PER>M
De XXX <ORG>l
Ca¬ XXX <LOC>Casino
Quelques XXX <PER>M
les XXX <LOC>Aciéries
Compa¬ XXX <ORG>Compagnie
Electri¬ XXX <LOC>Electricité
En XXX <ORG>De
Ajoutons XXX <PER>M
Or XXX <PER>M
Air XXX <LOC>L
. XXX <LOC>2310
La XXX <PER>la
Asso¬ XXX <ORG>Association
Devant XXX <PER>Peter
tu XXX <PER>Peter
ment XXX <LOC>Un
An¬ XXX <PER>André
Geor¬ XXX <PER>Georges
le XXX <HumanProd>Manuel
— XXX <PER>Serge
la XXX <LOC>La
malheu¬ XXX <PER>nation
' XXX <PER>Hermann
. XXX <LOC>Un
DOS XXX <PER>JOHN
VOIR XXX <PER>Paul
Lutte XXX <PER>Paul
------

Preprocessing Llama-2-70b-chat-hf-datasets_AJMC_de_HIPE-2022-v2.1-ajmc-test-de.tsv-ajmc_noguidelines_role-2024-03-23_11:46:07.tsv...
. XXX <WORK>Diodorus
------

Preprocessing Llama-2-70b-chat-hf-datasets_AJMC_en_HIPE-2022-v2.1-ajmc-test-en.tsv-ajmc_noguidelines_role-2024-03-23_11:47:15.tsv...
* XXX <SCOPE>sheltered
&s XXX <SCOPE>might
¢Uncared XXX <PERS>Uncared
¢ XXX <PERS>With
------

Preprocessing Llama-2-70b-chat-hf-datasets_AJMC_fr_HIPE-2022-v2.1-ajmc-test-fr.tsv-ajmc_noguidelines_role-2024-03-23_11:48:13.tsv...
discours XXX <WORK>Discours
) XXX <SCOPE>os
comme XXX <ADJ>como
dans XXX <SCOPE>
------

Preprocessing Llama-2-70b-chat-hf-._datasets_HIPE_de_HIPE-2022-v2.1-hipe2020-test-de.tsv-hipe_noguidelines_role-2024-03-08_18:46:09.tsv...
¬ XXX <loc>sicht
pässtlichen XXX <org>päßlichen
¬ XXX <pers>General-Lieutenant
¬ XXX <loc>Gesetzes
¬ XXX <org>konstitutionelle
¬ XXX <loc>Lyceums
Deputirten XXX <pers>Deputierten
( XXX (<loc>Englische
¬ XXX <org>Erziehungsanstalt
¬ XXX <org>radikalischen
¬ XXX <org>russischen
¬ XXX <org>gezworenen
¬ XXX <org>Staatlich-volkswirtschaftlichen
konzes XXX konzes<org>sionierten
be XXX be<org>
¬ XXX <loc>icher
¬ XXX <time>gestern
¬ XXX <org>Anglo-Jewish
( XXX (<loc>komm.,
¬ XXX <org>Ritterhausgesellschaft
( XXX (<loc>Soz.,
1937 XXX <time>Jahres
franzésisehe XXX <org>französische
westeuropüischen XXX <loc>westeuropäischen
> XXX <org>kommen
Unterm XXX <time>unterm
cc XXX <time>vor
socialen XXX <org>sozialen
» XXX <loc>diplomatischen
l XXX <loc>^
die XXX <org>Ehre
helligen XXX <org>hellen
, XXX <time>-
< XXX <loc>L
vnn XXX <time>vn
^ XXX <time>einen
Die XXX <loc>Italienischen
» XXX <num>190
proviforifche XXX <org>provisorische
' XXX <org>Nationale
fasehisten XXX <org>Daily
Generalstabschefs XXX <pers>italienischen
------

Preprocessing Llama-2-70b-chat-hf-._datasets_HIPE_en_HIPE-2022-v2.1-hipe2020-test-en.tsv-hipe_noguidelines_role-2024-03-08_18:45:34.tsv...
¬ XXX <loc>Palace
Gazstte XXX <loc>Gazette
' XXX <pers>heart
- XXX <pers>os
* XXX <loc>ruel
* XXX <org>stablish
on XXX <loc>powerful
Gen XXX <pers>Mr
[ XXX <org>sion
re XXX <org>pecuniary
^ XXX <contract>
owu XXX <prod>own
bocks XXX <org>District
iskegee XXX <loc>Tuskegee
------

Preprocessing Llama-2-70b-chat-hf-._datasets_HIPE_fr_HIPE-2022-v2.1-hipe2020-test-fr.tsv-hipe_noguidelines_role-2024-03-10_17:19:40.tsv...
bonnesi XXX <attr>bonnes
" XXX <loc>bureau
i XXX <time>5
damé XXX <pers>dame
< XXX <loc>e
\ XXX <loc>i
_ XXX <time>3
" XXX <pers>les
l XXX l'<loc>ancien
_ XXX <prod>colliers
" XXX <loc>une
ï XXX <time>3
_ XXX <org>négociant
_ XXX <time>J
l XXX l'<org>autorisation
_ XXX <loc>abord
recettedeFontaine XXX <loc>recette
_ XXX <loc>Gilbas
_ XXX <loc>chea
_ XXX <loc>précédemment
_ XXX <LOC>étall
_ XXX <amount>0
_ XXX <loc>Mme
c XXX <loc>C
_ XXX <org>un
_ XXX <pers>employés
_ XXX <loc>Tbu
gOii XXX <org>gouvernement
sirènes XXX <TIME>coups
_ XXX <loc>deuxième
L XXX <loc>l'enquête
' XXX l'<loc>ensemble
' XXX l'<org>assemblée
lant XXX l'<pers>ant
gcut XXX <org>agence
l XXX l'<loc>exposition
trois XXX <loc>je
_ XXX <loc>de
[ XXX <loc>bombardement
soldais XXX <pers>soldats
* XXX <loc>dépression
la XXX <pers>Henri
_ XXX <pers>le
------

Preprocessing Llama-2-70b-chat-hf-datasets_Newseye_de_HIPE-2022-v2.1-newseye-test-de.tsv-newseye_noguidelines_role-2024-03-23_11:52:39.tsv...
Die XXX <PER>Herrn
Historischer XXX <PER>Johann
Noch XXX <PER>Michel
, XXX <ORG>neue
Aktien XXX <ORG>Industrie=
holl XXX <LOC>Deutsche
( XXX <LOC>Wiener
) XXX <LOC>Abends
Große XXX <PER>Bruno
. XXX <PER>Heinrich
„ XXX <LOC>Venedig
die XXX <ORG>Lesen
„ XXX <HumanProd>Arbeiterinnen
In XXX <ORG>Die
. XXX <LOC>Rio
Alles XXX <LOC>100
) XXX <LOC>Die
Amtliche XXX <LOC>Wiener
Juli XXX <DATE>5.
) XXX <LOC>100
) XXX <LOC>100
) XXX <LOC>200
. XXX <PER>3%
=Priesen XXX <LOC>Priesen
) XXX <ORG>Andere
, XXX <ORG>4%
5% XXX <ORG>Buschtiehrader
=G XXX <PER>G.
detto XXX <PER>Detto
Aktien XXX <ORG>Transport=
. XXX <DATE>Juli
( XXX <ORG>Von
„ XXX <PER>Herr
“ XXX <LOC>Die
Weniger XXX <ORG>Journal
zu XXX <PER>Unser
) XXX <LOC>Von
Es XXX <ORG>Deutscher
Klebezettel XXX <PER>Dr
Vor XXX <ORG>Beamte
Ausweise XXX <ORG>Volks¬
80 XXX <PER>Herr
: XXX <LOC>Die
: XXX <PER>General
* XXX <LOC>Wiener
* XXX <LOC>Die
* XXX <PER>Johann
Die XXX <PER>Marie
In XXX <PER>Herrn
Wie XXX <PER>Madame
“ XXX <PER>Wie
“ XXX <ORG>Die
d XXX <ANM>Anm.
) XXX <ORG>Das
* XXX <PER>F.
* XXX <ORG>Humanität
* XXX <PER>Franz
* XXX <PER>Johann
In XXX <LOC>Fabrik
* XXX <LOC>Beim
* XXX <LOC>Ein
' XXX <PER>Franz
) XXX <LOC>Erstes
. XXX <LOC>Stefansplatz
Giltig XXX <LOC>1
4460 XXX <ORG>DRUCK
( XXX (<PER>Vertrauensmann
“ XXX <ORG>Bayrische
) XXX <ORG>Bayrische
“ XXX <PER>M
„ XXX <PER>Marlene
„ XXX <LOC>Rätsel
“ XXX <LOC>APOLLO
„ XXX <HumanProd>Der
“ XXX <LOC>MEIDLINGER
m XXX <PER>Franziska
„ XXX <PER>Hedy
„ XXX <PER>Karl
“ XXX <PER>D.
„ XXX <PER>Edward
Verschlungene XXX <PER>A
) XXX <LOC>Seite
. XXX <DATE>Heute
. XXX <LOC>Obere
“ XXX <LOC>18
“ XXX <LOC>Büchereinlauf
Sämtliche XXX <ORG>Wiener
30 XXX <PER>Dr
15 XXX <PER>Dr
40 XXX <PER>Dr.
40 XXX <PER>Hans
05 XXX <PER>Tobias
“ XXX <PER>Hermann
. XXX <PER>Franz
. XXX <PER>Rudolf
Am XXX <PER>Franz
10 XXX <PER>Bela
. XXX <LOC>10
) XXX <ORG>Funkorchester
) XXX <LOC>Erde
15 XXX <PER>Anton
40 XXX <PER>Paul
. XXX <HumanProd>Aus
Einleitende XXX <PER>Dr.
Dirigent: XXX <PER>Josef
“ XXX <HumanProd>Oper
“ XXX <HumanProd>Oper
“ XXX <HumanProd>Burleske
“ XXX <PER>Giuseppe
“ XXX <HumanProd>Oper
Am XXX <PER>Herr
— XXX <LOC>Das
=Dr XXX <PER>Dr.
nach XXX <ORG>Der
Verantwortlicher XXX <PER>G
Herausgegeben XXX <ORG>Wagner
Druck XXX <ORG>Wagner
2 XXX <LOC>Der
Für XXX <ORG>Die
Bienerth XXX <PER>Freiherr
vertrat XXX <ORG>Die
### XXX <LOC>Deutsch-tschechische
Aus XXX <ORG>Bregenzer
Daß XXX <ORG>Vaterländische
„ XXX <LOC>Innsbrucker
Dre### XXX <PER>A
Für XXX <PER>Frau
Beginn XXX <LOC>3
283 XXX <PER>Geschwister
Am XXX <LOC>15½
: XXX <LOC>Einrichtungs=
B XXX <ORG>Geschäftsstelle
=Gem XXX <LOC>Gem
Der XXX <PER>Emil
„ XXX <LOC>Innsbrucker
, XXX <LOC>Wollzeile
Es XXX <LOC>St
, XXX <LOC>Westbahnstraße
Vertreter XXX <PER>Robert
. XXX <PER>Vertreter
Hochachtungsvollst XXX <PER>Josef
langjähriger XXX <PER>Andrä
Restenmuster XXX <ORG>Weberei
Zähne XXX <PER>Dr
„ XXX <PER>Franz
“ XXX <PER>11
Den XXX <PER>Herr
Da XXX <PER>Freiherr
) XXX <LOC>Juli
( XXX (<ORG>Firma
, XXX <ORG>unsere
, XXX <LOC>Köstlergasse
, XXX <LOC>Josefstädterstrasse
, XXX <LOC>Radetzkyplatz
„ XXX <HumanProd>100
„ XXX <HumanProd>100
= XXX <ORG>Für
###f XXX <ORG>Illustrierte
. XXX <LOC>Berlin
) XXX <ORG>40½
=Lose XXX <LOC>100
=ungar XXX <ORG>Bank
=Verein XXX <ORG>Verein
### XXX <ORG>Geld
„ XXX <ORG>AU
“ XXX <PRODUCT>Kaffee
„ XXX <LOC>Ober¬
„ XXX <HumanProd>Die
: XXX <LOC>Im
: XXX <PER>Der
. XXX <LOC>Telephon
Ein XXX <PER>Dr
###ir XXX <ORG>Illustrierte
Plomben XXX <ORG>K
Unter XXX <PER>Heinrich
gesagt XXX <ORG>Trab¬
Zu XXX <PER>Hermine
Donnertag XXX <PER>Johann
( XXX (<ORG>Vereinigung
( XXX <ORG>Oesterreichischer
( XXX <LOC>Kärntner
) XXX <PER>Herrn
. XXX <LOC>Sonntag
. XXX <LOC>nach
, XXX <LOC>Straßenbahnende
, XXX <LOC>halb
. XXX <LOC>Allgemein
( XXX <ORG>Gesellschaft
( XXX <ORG>Wiener
) XXX <ORG>Das
„ XXX <PER>Wenn
♦Kleine XXX <ORG>Kleine
, XXX <LOC>Kaiserstraße
Nuß XXX <NUM>320
, XXX <LOC>Tannengasse
Johann=Strauß=Tänze XXX <PER>Johann
( XXX <LOC>Margareiner
) XXX <LOC>Sport
: XXX <LOC>Filmvorführung
Spezialarzi XXX <PER>Dr
Format XXX <LOC>6½X9
Unruhig XXX <PER>Direktor
Während XXX <PER>Paul
„ XXX <PER>Herr
Abonnement XXX <ORG>Im
: XXX <LOC>Für
b XXX <LOC>10
, XXX <PER>G.
; XXX <PER>b
. XXX <LOC>Postamte
, XXX <PER>Auguste
b XXX <LOC>10
f XXX <LOC>Spa¬
. XXX <LOC>Postamte
, XXX <PER>b
, XXX <PER>H.
, XXX <PER>U.
uns XXX <LOC>21
. XXX <LOC>Postamte
, XXX <PER>E.
“ XXX <ORG>Die
Eines XXX <PER>Louis
Nach XXX <ORG>Hohenwart
Das XXX <PER>Bonifaz
4 XXX <ORG>Lemberger
Doch XXX <PER>Dr
] XXX <LOC>Die
) XXX <LOC>Die
schwung XXX <PER>Schwung
Verantwortlicher XXX <PER>Joseph
“ XXX <PER>der
“ XXX <PER>Friedrich
endlich XXX <PER>der
„ XXX <PER>der
“ XXX <PER>Nun
“ XXX <HumanProd>Fortsetzung
[Egyptische XXX <LOC>Egyptische
] XXX <LOC>Das
] XXX <ORG>Pester
General=Direction XXX <ORG>General-Direction
[Frau XXX <PER>Frau
] XXX <LOC>New
: XXX <ORG>Es
: XXX <PER>Haben
: XXX <PER>Haben
: XXX <PER>Haben
) XXX <ORG>Se.
Telegramme XXX <ORG>Neue
) XXX <ORG>Agence
) XXX <ORG>k
“ XXX <PER>Der
„ XXX <PER>der
„ XXX <PER>Lesen
“ XXX <HumanProd>Die
“ XXX <PER>der
“ XXX <PER>sagte
Juli XXX <DATE>5.
Notirungen XXX <LOC>12
] XXX <LOC>Wiener
. XXX <LOC>Jahres
. XXX <LOC>Staatsbahn
. XXX <LOC>Lombarden
. XXX <ORG>Anglo-Deutsche
. XXX <ORG>Wiener
. XXX <ORG>Deutsche
[Berliner XXX <LOC>Berliner
„ XXX <PER>Der
„ XXX <HumanProd>Das
“ XXX <LOC>K
“ XXX <HumanProd>Oper
Der XXX <PER>Hr
„ XXX <PER>Maria
Posse XXX <PER>A
“ XXX <PER>Sebastian
Fünfte XXX <PER>Dr
“ XXX <HumanProd>Komische
" XXX "<PER>English
“ XXX <LOC>Theater
„ XXX <LOC>Drei
“ XXX <ORG>Oesterreichischer
2 XXX <TIME>4
’ XXX <LOC>Schwender's
beob¬ XXX <LOC>3
: XXX <LOC>Für
b XXX <LOC>10
; XXX <PER>G.
. XXX <LOC>Postamte
, XXX <PER>Auguste
b XXX <LOC>10
f XXX <LOC>Spa¬
. XXX <LOC>Postamte
, XXX <PER>b
, XXX <PER>H.
, XXX <PER>U.
uns XXX <LOC>21
. XXX <LOC>Postamte
, XXX <PER>E.
; XXX <ORG>Jäger
Abonnement XXX <ORG>Im
